index_col,content,data,like,place,tags
0,#시니어모델 #봄을기다리는 #올해의색 #blue #red #model#두타점#딘트,2020-02-13,452,,"['#시니어모델', '#봄을기다리는', '#올해의색', '#blue', '#red', '#model', '#두타점', '#딘트']"
1,_올해의 색 블루 ??.#플로리스트차선빈,2020-01-09,115,송파구 문정동,['#플로리스트차선빈']
2,2016년 팬톤 #올해의색 ~ ??????#로즈쿼츠 & #세레니티#rosequartz & #serenity#플라워케이크 ~~ ??#플라워케익#대구플라워케이크 #대구플라워케익#버터크림플라워케이크 #꽃 #꽃케이크 #꽃스타그램 #케이크 #메종올리비아 #봄 #spring #springflower #cherryblossom#flowercake #flower #buttercreamdecorating #buttercream #buttercreamcake #baking #cake #koreaflower#koreaflowercake #maisonolivia,2016-03-15,643,,"['#올해의색', '#로즈쿼츠', '#세레니티', '#rosequartz', '#serenity', '#플라워케이크', '#플라워케익', '#대구플라워케이크', '#대구플라워케익', '#버터크림플라워케이크', '#꽃', '#꽃케이크', '#꽃스타그램', '#케이크', '#메종올리비아', '#봄', '#spring', '#springflower', '#cherryblossom', '#flowercake', '#flower', '#buttercreamdecorating', '#buttercream', '#buttercreamcake', '#baking', '#cake', '#koreaflower', '#koreaflowercake', '#maisonolivia']"
3,#goat,2020-03-17,329,고트카페,['#goat']
4,"2020년 #펜톤 #올해의색 은  #클래식블루 입니당??펜톤컬러에 맞게 요즘은 파란색 꽃을 많이 찾으시네요????블루 #미니델피늄 의 꽃말은 ‘당신을 행복하게 해줄게요’ ??#파란장미 꽃말은 ‘희망, 기적’ 이에오???♂?-??당일주문, 예약, 배송가능해요????#부산졸업식꽃다발 예약 받고 있어요!-#부산꽃집??부산진구 서전로 18 (부전동) #드마비플라워??Tel +82.51)805-5046 Mobile +82.10)5046-3941- #동래꽃집 #부전동꽃집 #해운대꽃배달 #부산꽃배송 #서면꽃배달 #전포동꽃집 #해운대꽃집 #부산웨딩 #부산꽃배달 #서면꽃배송 #서면꽃다발 #부산꽃다발",2020-02-03,143,드마비플라워,"['#펜톤', '#올해의색', '#클래식블루', '#미니델피늄', '#파란장미', '#부산졸업식꽃다발', '#부산꽃집??부산진구', '#드마비플라워??Tel', '#동래꽃집', '#부전동꽃집', '#해운대꽃배달', '#부산꽃배송', '#서면꽃배달', '#전포동꽃집', '#해운대꽃집', '#부산웨딩', '#부산꽃배달', '#서면꽃배송', '#서면꽃다발', '#부산꽃다발']"
5,"‘2021년 올해의 색’?색채 연구소 팬톤이 2021년의 색으로 ‘일루미네이팅(Illuminating)’과 ‘얼티미트 그레이(Ultimate Gray)’를 선정했다.?일루미네이팅은 밝은 노란색으로, 태양의 빛이 스며든 따뜻한 노란색 그늘을 의미한다. 얼티미트 그레이는 옅은 회색으로, 해변의 자갈 색상처럼 평온함과 안정감을 나타낸다.?팬톤은 “두 색상은 회복과 긍정의 메시지, 희망을 의미하는 조합”이라고 설명했다.?사진출처??: Pantone",2020-12-11,"2,147",,[]
6,#젤네일,2018-01-16,697,,['#젤네일']
7,"2020년 #펜톤 #올해의색 은  #클래식블루 입니당??펜톤컬러에 맞게 요즘은 파란색 꽃을 많이 찾으시네요????블루 #미니델피늄 의 꽃말은 ‘당신을 행복하게 해줄게요’ ??#파란장미 꽃말은 ‘희망, 기적’ 이에오??-??당일주문, 예약, 배송가능해요????#부산졸업식꽃다발 예약 받고 있어요???♂?-#부산꽃집??부산진구 서전로 18 (부전동) #드마비플라워??Tel +82.51)805-5046 Mobile +82.10)5046-3941- #동래꽃집 #부전동꽃집 #해운대꽃배달 #부산꽃배송 #서면꽃배달 #전포동꽃집 #해운대꽃집 #부산웨딩 #부산꽃배달 #서면꽃배송 #서면꽃다발 #부산꽃다발",2020-02-06,131,드마비플라워,"['#펜톤', '#올해의색', '#클래식블루', '#미니델피늄', '#파란장미', '#부산졸업식꽃다발', '#부산꽃집??부산진구', '#드마비플라워??Tel', '#동래꽃집', '#부전동꽃집', '#해운대꽃배달', '#부산꽃배송', '#서면꽃배달', '#전포동꽃집', '#해운대꽃집', '#부산웨딩', '#부산꽃배달', '#서면꽃배송', '#서면꽃다발', '#부산꽃다발']"
8,이마트 득템이네ㅋ#2021 #팬톤 #올해의색,2020-12-11,12,,"['#2021', '#팬톤', '#올해의색']"
9,인테리어 바꿀겸 아무생각 없이 그림도 바꾸려고 했는데#두배올랐어 #이게바로 #그림재테크#2021 #올해의색 #일루미네이팅 #노란색,2020-12-11,7,,"['#두배올랐어', '#이게바로', '#그림재테크', '#2021', '#올해의색', '#일루미네이팅', '#노란색']"
10,"??????? ????? ???????? ??????? ??????(Pantone)????????????? ????? ????????? ?????????(Shutterstock)????????????? ‘??????? ?????’?? ‘????? ???????’??? ?????????.??????????? ??????????? 2021 ‘??????? ?????’????????????? ??????? ‘??????????????’???????? ????? ??????? ‘??????????? ??????’????????????? ?????? ???????? ???????????????.????????????? ???????? ?????????????? ?????? ??????? ????????? ?????????? ???????? ??? ???????!?????????????? 2021 ‘????? ???????’??????????? ???????? ??????????????????.????????? ????? ‘??? ????? ????????’??????????? ????? ‘???????? ?????’???????? ??????? ??????? ?????? ‘?????????? ?????’???????.???‘??????? ?????’?? ‘????? ???????’??? ?????????,????????????? ???????? ?????? ???????? ??????? ???????????????????? ???????????????? ??????? ??????????? ??????????? ?????????.??? ????????? ????? ????? ???????????? ?????????? ????????OOOO OOO 화가?? ??????????!?2021???,OOO의 ?????들이지친 ?????? ???????? ????????? ???????????? ???? ?????????? ???????!??????#?????? #????????? #?????????? #????????????? #????????????#???????????? #????? #??????? #??????? #???????#정답은 #구스타프 #???????? #???? #????????? #?????? #???#???????? #????? #????? #2020 #2021 #?????? #?????????? #하루한줄 #?????????????????????? #???????????",2020-12-11,9,,"['#??????', '#?????????', '#??????????', '#?????????????', '#????????????', '#????????????', '#?????', '#???????', '#???????', '#???????', '#정답은', '#구스타프', '#????????', '#????', '#?????????', '#??????', '#???', '#????????', '#?????', '#?????', '#2020', '#2021', '#??????', '#??????????', '#하루한줄', '#??????????????????????', '#???????????']"
11,안녕하세요 와우프레스입니다:)오늘은 팬톤에서 선정한 2021 올해의 컬러를 알려드리려고 합니다!시크하면서도 따뜻한느낌의얼티밋그레이와 일루미네이팅 컬러 조합을 다양한 곳에 활용해 보세요~,2020-12-11,36,,[]
